id	result
10141710	{"盖伊": 1, "布鲁塞尔": 1, "榜首": 1, "五虎中": 1, "加特林": 1, "世锦赛": 1, "国际田联": 1, "博尔特": 2, "大邱": 1, "运动员": 1, "巅峰": 1, "赛季": 1, "职业生涯": -1, "鲍威尔": 0, "布雷克": 0}
10141720	{"申洲": -1, "浙江省疫情防控冷链食品物防": 1, "新碶街道": -1, "北仑区": -1, "舟山港": -1, "宿舍区": -1, "北仑": -1, "浙江省卫生健康委": 1, "浙江省政府": 1, "浙江": -1, "丽水": 1, "浙江省": -1, "本土": -1, "杭州": 1, "宁波": -1, "病例": -1, "沿海村": 0, "衢州": 0}
10141725	{"阿拉木图": -1, "阿拉木图国际机场": -1, "外交部": 1, "总统": -1, "曼格斯": -1, "哈萨克斯坦": 1, "套州": -1, "阿拉木图市政府": -1, "托卡耶夫": -1, "国家电视台": -1, "阿拉木图市": -1, "莫斯科": 1, "当地时间": -1, "哈萨克斯坦阿拉木图国际机场": -1, "反政府": 1, "国家安全委员会": -1, "国际广播电视公司": 0}
10141726	{"塔陵": -1, "永安社区": -1, "文化服务中心": -1, "郑州市新冠肺炎疫情防控指挥部办公室": 1, "郑州": -1, "中原区绿东村办事处": -1, "保全街28号院": -1, "电缆社区69号院": -1, "通告": -1, "二七区建中街办事处": 0, "郑州市委宣传部": 0}
10141759	{"阿拉木图": 1, "佩斯科夫": 1, "哈西部": 1, "外交": 1, "总统": 1, "哈萨克斯坦": 1, "俄外交部": 1, "俄罗斯外交部": 1, "俄罗斯": 1, "俄新社": 1, "托卡耶夫": 1, "阿拉木图市": 1, "莫斯科": -1, "阿克套": 1, "斯迈洛夫": 1, "中新社": 0, "曼吉斯套州": 0}
10117186	{"崔诗越": -1, "长安区委": -1, "雁塔": -1, "王斌": -1, "西安市": -1, "雁塔区": -1, "雁塔区委": -1, "西安汉长安城国家大遗址保护特区党工委": -1, "西安雁塔": -1, "区政府": -1, "西安雁塔区委": -1, "杨建强": -1, "西安国家民用航天产业基地党工委": -1, "未央区委": -1, "副书记": -1, "刘国中": 0, "雁塔区政府办公室": 0}
10141764	{"阿拉木图": -1, "总统": -1, "哈萨克斯坦": -1, "国际文传电讯社": -1, "套州": -1, "北京": -1, "阿拉木图市政府": -1, "托卡耶夫": -1, "阿拉木图市": -1, "当地时间": -1, "俄新社": -1, "国家安全委员会": -1, "内务部": -1, "努尔苏丹": 0, "国际广播电视公司": 0}
10133574	{"港股": -1, "港交所": -1, "股份": -1, "基金": 1, "中国电信控股股东电信集团": 1, "张骞爻": 1, "文莱投资局": 1, "A股": -1, "投资者": -1, "中国电信": -1, "申万宏源": 1, "股价": 0, "中国移动": 0}
10125388	{"总统": -1, "今日俄罗斯电视台": 1, "俄罗斯": -1, "普京": 1, "乌克兰政府": -1, "莫斯科": 1, "乌沙科夫": 1, "拜登政府": -1, "领导人": -1, "尤里": -1, "华盛顿": -1, "日内瓦": 1, "拜登": -1, "维也纳": 1, "美国": -1, "Ushakov": 1, "乌克兰": -1, "北约": -1, "克里姆林宫": 0, "布鲁塞尔": 0}
10117199	{"正村镇西沟村": 1, "城关镇": 1, "新安": 1, "大划镇捷普电子厂": 1, "新安县": -1, "崇州市": 1, "正村一中": -1, "河南": -1, "连霍高速": 1, "西沟村": 1, "感染者": -1, "正村镇": 1, "洛阳服务区": -1, "村镇卫生院": 0, "古路村": 0}
10141777	{"地方法人银行": 1, "信达证券": 1, "成都银行": 1, "天神娱乐": 1, "湖北广电": 1, "小熊电器": 1, "杨德龙": 1, "金莱特": 1, "宝鹰股份": 1, "板块": 1, "央行": 1, "王婧": 1, "丝路视觉": 1, "A股": 1, "赵伟": 0, "市值": 0}
10125397	{"杨实秋": 1, "市长": 1, "韩国瑜": 1, "郭台铭": 1, "蔡英文": 1, "政治": -1, "薛洋": -1, "侯友": 1, "鸿海集团": 1, "侯背景": 1, "新北市政府": 1, "国民党": 1, "侯民调": 2, "侯友宜": 1, "新北市": 1, "香港中评社": 1, "新北": 0, "新北市长": 0}
10125398	{"王秋冬": 1, "朱立伦": -1, "韩国瑜": 1, "韩因为": 2, "台北大安森林公园": 2, "政治": 1, "韩终究": 1, "韩不排除": 1, "林昶": 1, "朱放": 1, "国民党": 1, "颜宽恒": 1, "韩举办": 1, "侯友宜": 0, "香港中评社": 0}
10141788	{"信阳": -1, "发布会": -1, "德尔塔": -2, "商丘": -1, "德尔塔毒株": -2, "李迎春": -1, "周口": -1, "许昌": -1, "郑州": -1, "链条": -1, "郑州市政府": 1, "郑州市": 1, "李慧芳": 1, "郑州市商务局": -1, "病例": 1, "中新社": -1, "河南": 0}
10125452	{"励成杰": -1, "北仑区": 1, "万怡酒店": -1, "淮河路": 1, "无症状感染者": -1, "河南": -1, "王仁元": -1, "本土": -1, "郑州市": -1, "上海": 1, "感染者": 1, "宁波": 1, "郑州东站": 1, "病例": 0, "许昌市": 0}
10141849	{"屏幕": -1, "指纹": -1, "指纹识别": -1, "小米移动软件有限公司": 1, "小米": 0, "机型": 0}
10141856	{"阿拉木图": -1, "哈国防部": 1, "总统": 1, "团伙": -2, "哈萨克斯坦": -1, "恐怖主义": -1, "总台": 1, "托卡耶夫": 0, "航班": 0}
10117282	{"赵一德": 1, "李明远": 1, "西安市": -1, "西安市疫情防控指挥部": 1, "城中村": 1, "方红卫": 1, "蒿慧杰": 1, "李克强": 0, "孙春兰": 0}
10141860	{"阿拉木图": -1, "哈萨克斯坦": -1, "总台": -1, "国家电视台": 0, "哈萨克斯坦国家电视台阿拉木图分台": -1}
10141861	{"阿拉木图": 1, "佩斯科夫": 1, "哈西部": 1, "外交": 1, "总统": 1, "哈萨克斯坦": 1, "俄外交部": 1, "俄罗斯外交部": 1, "俄罗斯": 1, "俄新社": 1, "托卡耶夫": 1, "阿拉木图市": 1, "莫斯科": -1, "阿克套": 1, "斯迈洛夫": 1, "中新社": 0, "曼吉斯套州": 0}
10133673	{"辽宁": -1, "抚顺顺城区": 1, "抚顺市顺城区应急管理局": 1, "抚顺市": 1, "顺城区": 1, "抚顺": -1, "央视": 0, "辽宁省": 0}
10125483	{"上交所": 1, "总股本": 1, "迈威生物": 1, "禾迈股份": 1, "兰州市": 1, "兰州银行": 1, "甘肃省": -1, "普冉股份": 1, "巨无霸": 1, "A股": -1, "翱捷科技": 1, "投资者": 1, "中国电信": 0, "中国移动": 0}
10117312	{"方正证券": 1, "证券": 1, "业绩": 1, "年报": 1, "渤海证券": 1, "医药": 1, "大盘": 1, "板块": 1, "渤海": 1, "行情": 1, "A股": 1, "中信证券": 1, "低位": 0}
10141891	{"严家蓉": 1, "发布会": 1, "国际奥委会": 1, "新华社": 1, "发言人": 1, "北京冬奥组委": 1, "韩子荣": 1, "记者": 1, "国际残奥委会": 0, "赵卫东": 0}
10141895	{"欧盟": -1, "北约": -1, "延斯·普洛特纳": 1, "总统": -1, "泽连斯基": -1, "美国": -1, "俄罗斯": -1, "普京": -1, "德国": 1, "欧安": -1, "法国": -1, "莫斯科": 1, "拜登": -1, "华盛顿": -1, "欧洲": -1, "乌克兰": 0, "外交": 0}
10141896	{"马哈茂德": -1, "视觉中国": 1, "德尔塔": -1, "病例": -1, "世卫组织": -1, "IHU": -1, "法国": -1, "日内瓦": 1, "世界卫生组织": 1, "喀麦隆": -1, "Eric": 1, "毒株": 0}
10141898	{"中国": -1, "阿拉木图": -1, "总统": -1, "哈萨克斯坦": -1, "国际文传电讯社": -1, "套州": -1, "北京": -1, "阿拉木图市政府": -1, "托卡耶夫": -1, "阿拉木图市": -1, "当地时间": -1, "俄新社": -1, "阿拉木图国际机场": -1, "国家安全委员会": -1, "内务部": -1, "曼吉斯套州": 0, "国际广播电视公司": 0}
10141901	{"中国": 1, "日本": -1, "英特尔": 1, "中兴": 1, "半山路": 1, "美国": -1, "日本三菱集团": 1, "沙祖康": 1, "洛克菲勒中心": 1, "嫦娥": 0}
10141902	{"巴西": -1, "欧盟": -1, "莫里森": -1, "总统": -1, "克里斯托弗·吴": -1, "韩国": -1, "美国": -1, "马克龙": -1, "文在寅": -1, "法国": -1, "李在明": -1, "菲律宾": -1, "民主党": -1, "拜登": 1, "朴槿惠": -1, "尹锡悦": -1, "杜特尔特": 0}
10141903	{"新德里": -1, "路透社": -1, "肺炎": -1, "奥密克戎": -1, "美国": -1, "世卫组织": 1, "马克龙": 1, "印度": -1, "约翰逊": -1, "欧洲": -1, "病例": -1, "毒株": 0, "英国": 0}
10141907	{"张鹏": -2, "人人": -1, "杨婕": -2, "中国青年报社社会调查中心": 1, "北京云嘉律师事务所": 1, "北京": -1, "李嘉": -1, "李嘉说": -1, "赵占领": 0}
10125524	{"广鹏": -1, "张庭": -1, "青浦区": -1, "禾松公司": -1, "上海达尔威公司贸易有限公司": -1, "达尔威公司": -1, "銮威公司": -1, "陶虹": -1, "石家庄市裕华区市场监督管理局": -1, "慕己公司": -1, "李月": -1, "赵占领": -1, "达尔威": -1, "TST庭": -1, "林瑞阳": -1}
10141911	{"大石洞": 1, "刘清伟": 1, "张小华": 1, "担杆岛猕猴自然保护区": 1, "担杆岛自然保护区": 1, "阿山": 1, "扫山": 1, "阿海": 1, "罗家福": 1, "守岛": 1, "担杆岛": 0, "淇澳": 0}
10141914	{"球员": 1, "贝兹莫尔": 1, "篮板": 1, "阵容": 1, "威少": 1, "蒙克": 1, "詹姆斯": 2, "塔克": 1, "球队": 1, "隆多": 1, "赛季": 1, "湖人": 1, "约翰逊": 1, "中锋": 1, "布拉德利": 1, "小乔丹": 0, "湖人队": 0}
10141918	{"王天林": 1, "赵岩": 1, "孙引朝": 1, "杨官召": 1, "刘渊": 1, "部队": 1, "火力": 1, "火箭军": 0, "北国": 0}
10141925	{"陈实说": 1, "第81集团军": 1, "陆航": -1, "第76集团军党委": 1, "部队": 1, "陆军第71集团军": 1, "陈萌": 0}
10141929	{"西安市纪委": -1, "李强": -1, "西安市": -1, "西安": -1, "西安市卫生健康委": -1, "西安市急救中心党总支": -1, "刘顺智": -1, "市卫生健康委": -1, "范郁": -1, "高新医院": 0}
10141935	{"国际社会": 1, "中国": 1, "不扩散核武器条约": 1, "国家": 1, "联合国大会": 0, "禁止生物武器公约": 0}
10141936	{"西安市纪委": 1, "徐明非": -1, "杨凌": -1, "商洛": -1, "西安市": -1, "西安": -1, "市政府新闻办": -1, "西安市卫生健康委": 1, "西安市急救中心党总支": -1, "渭南": -1, "西安高新医院": -1, "刘顺智": -1, "范郁": -1, "高新医院": 0}
10117369	{"中国": -1, "末代皇帝": 1, "眯眯眼": 1, "簪花仕女图": 1, "张静婉": 1, "赵飞燕": 1, "楚王": 1, "保尔": -1, "杜牧": -1, "三只松鼠": -1, "诗经": 1, "韵味": 1, "杜嘉班纳": -1, "王佩杂": -1}
10133782	{"刘军": -1, "陕西码": -1, "西安市": -1, "局长": -1, "西安": -1, "刘鑫": -1, "西安市大数据资源管理局": -1, "陕西": -1, "陕西省人民政府": 0, "党组": 0}
10141980	{"津城": 1, "水西公园": 1, "红桥区": 1, "太阳城": 1, "南开区": 1, "新立菜市场": 1, "西青区": 1, "河西区": 1, "东丽区": 1, "北辰区": 1, "精品示范菜市场": 1, "林苑": 1, "河北区": 1, "津南区": 0, "解放南路地区": 0}
10141981	{"恒神股份": 1, "吉林化纤集团": 1, "东丽": 1, "长江证券": 1, "上海石化": 1, "吉林化纤": 1, "吉林碳谷": 0, "投资": 0}
10141985	{"中国": 1, "支棱": 1, "成都社区": 1, "姜振宇": 1, "川大": 1, "社区美术馆": 1, "超威狗狗": 1, "四川大学文学与新闻学院中国科幻研究院": 1, "成都科技馆": 1, "世界科幻大会": 1, "成都": 1, "自贡恐龙园": 1, "当代文学研究所": 0}
10141989	{"中国": 1, "净利润": 1, "涨幅": 1, "股东": 1, "A股": 1, "母公司": 1, "中国电信": 1, "股价": 0, "中国移动": 0}
10141991	{"资金": 1, "腾讯控股": 1, "个股": -1, "达哥": 1, "高位": -1, "张道达": 1, "恒生科技": 1, "A股": 0, "宁德时代": 0}
10133802	{"禹州市": 1, "陕西省大中专院校": -1, "西安市": -1, "陕西省": -1, "陕西省卫健委": -1, "北仑": -1, "许昌": -1, "禹州": -1, "郑州": -1, "上海市": -1, "本土": -1, "陕西": -1, "宁波市": -1, "陕西大中专院校": -1, "感染者": 1, "宁波": -1, "病例": 0, "河南": 0}
10142007	{"约克霍尔姆": 1, "斯德哥尔摩": -1, "新华社": -1, "新冠": -2, "瑞典": -1, "病例": 0, "毒株": 0}
10117441	{"阳性": -1, "莫里森": -1, "芝加哥": -1, "议会大厦": 1, "美国": -1, "法新社": -1, "朴槿惠": -1, "法国内政部": -1, "法国": -1, "开普敦议会大厦": 1, "梅西": -2, "罗纳尔多": -2, "巴西里": -1, "欧洲": -1, "双双": 0, "南非": 0}
10142022	{"阿拉木图": -1, "哈国防部": 1, "总统": 1, "团伙": -1, "主权": -1, "哈萨克斯坦": -1, "帕希尼扬": 1, "托卡耶夫": 1, "亚美尼亚": 0, "集安": 0}
10142045	{"郭施亮": 1, "前海": 1, "科技部": 1, "个股": -1, "A股": -1, "基金": -1, "板块": 1, "天合光能": 1, "涨幅": -1, "跌幅": 1, "杨德龙": 1, "投资者": 0, "宁德时代": 0}
10117472	{"韩国": -1, "朴槿惠": -1, "柳荣夏": 1, "朴槿": 0}
10142052	{"新安县": -1, "新安县新冠肺炎疫情防控指挥部": 1, "市新冠肺炎疫情防控指挥部": 1, "县新冠肺炎疫情防控指挥部": 0}
10142056	{"阳性": 1, "将军堡街道": -1, "中原区": -1, "朱荣斌": -1, "徐某": -1, "西安市卫生健康委": 1, "西安": -1, "永康市疾病预防控制中心": 1, "移通社区": -1, "美股": -1, "印度": -1, "辉南路": -1, "小米": -1, "病例": 1, "印度财政部": -1, "高新医院": 0, "李克强": 0}
10142059	{"土地管理法": -1, "自然资源部执法局": -1, "崔瑛": 1, "自然资源部": 0, "潘辉": 0}
10125677	{"西安市": 1, "新疆生产建设兵团": -1, "西安": -1, "西安市疫情防控指挥部": 1, "广东": -1, "浙江": 1, "西安市疫情防控指挥部办公室": 1, "许昌市": 1, "本土": 1, "陕西": -1, "湖南": 1, "洛阳市": 1, "感染者": -1, "宁波市": 1, "病例": 0, "河南": 0}
10142075	{"宿迁": 1, "镇江": 1, "扬州": 1, "南京": 1, "淮安": 1, "江苏": 1, "连云港": 1, "盐城": 1, "徐州": 1, "泰州": 0, "南通": 0}
10125694	{"秦霄贤": 1, "云平": 1, "高九成": 1, "张九南": -1, "何九华去": -1, "恋情": 1, "王鸥": 1, "何九华": -1, "搭档": 1, "郭德纲": 1, "李靓蕾": 1, "栾云平": 1, "何九华组队": -1, "德云社": -1, "孙九香": 0, "尚九熙": 0}
10142078	{"和特尔施特根": 1, "欧联杯": 1, "登贝莱": -1, "阿劳霍": 1, "阿尔维斯": -1, "西协甲": -1, "哈维": -1, "加西亚": 1, "利纳拉斯": -1, "巴萨": 1, "胡特格拉": 1, "巴萨一线队": 1, "利拿拉斯": -1, "迪亚斯": 1, "普伊奇": 1, "阿霍巴卡": 1, "卡尼塞尔": 1, "纪录": -1, "明格萨": 0, "阿霍马克顶": 0}
10142079	{"阿拉木图": -1, "总统": -1, "北京": -1, "阿拉木图市政府": -1, "当地时间": -1, "俄新社": -1, "中使馆": -1, "内务部": -1, "士兵": -1, "套州": -1, "中国": -1, "国家": -1, "阿拉木图市": -1, "阿拉木图国际机场": -1, "国家安全委员会": -1, "曼吉斯套州": -1, "哈萨克斯坦": -1, "托卡耶夫": 0, "国际广播电视公司": 0}
10142083	{"温永骏": 1, "新华社": 1, "广州队": 1, "山东泰山队": 1, "泰山": 1, "唐顺齐": -1, "中足联": -1, "中超": -1, "北京国安队": -1, "郭田雨": 0, "张玉宁": 0}
10125700	{"资金": 1, "国泰君安证券": 1, "板块": 1, "行情": 1, "券商": 1, "A股": 1, "中信证券": 1, "投资者": 0, "低位": 0}
10133892	{"赵明": 1, "刷新率": 1, "高通": 0, "手机": 0}
10117514	{"蔡英文": -1, "美国": 1, "汤绍成": 1, "马英九": -1, "兰德公司": -1, "民进党": -1, "葛罗斯曼": -1, "台湾": -1, "蔡当局": 0, "外交": 0}
10142092	{"墨尔本": 1, "塞尔维亚国家电视台": 1, "墨尔本机场": 1, "澳大利亚": -1, "小德": -1, "塞尔维亚": -1, "德约科维奇": 0, "澳网公开赛": 0}
